File,sLD.tif,sPK.tif,sPm.tif,sPo.tif,% > 5,% > 6,% > 7,Mean
SbII_WSA_0,0.15,0.2,0.4,0.25,99.95328385468903,65.76749084152405,26.57158919352625,6.331184
SbII_WSA_1,0.15,0.2,0.25,0.4,96.10118136421701,29.75132230445202,0.02428183824072803,5.690137
SbII_WSA_2,0.15,0.4,0.2,0.25,97.90846274849294,36.288019552158445,26.58900877313373,6.0349474
SbII_WSA_3,0.15,0.4,0.25,0.2,99.98838694692834,36.43265484950539,26.585709610329282,6.248631
SbII_WSA_4,0.15,0.25,0.2,0.4,96.10197316329008,32.19639784208359,0.02428183824072803,5.6160784
SbII_WSA_5,0.15,0.25,0.4,0.2,99.96212561100495,67.84728307344729,26.58531371079275,6.4708076
SbII_WSA_6,0.2,0.15,0.4,0.25,99.95618711795696,65.76749084152405,10.0443671413942,6.2834744
SbII_WSA_7,0.2,0.15,0.25,0.4,96.61044013471141,11.296465408937827,0.023885938704194424,5.642429
SbII_WSA_8,0.2,0.4,0.15,0.25,96.63340230783037,34.152405485583984,26.587425174987594,5.9131813
SbII_WSA_9,0.2,0.4,0.25,0.15,99.98020502317331,35.19230160154559,26.58333421311008,6.340546
SbII_WSA_10,0.2,0.25,0.15,0.4,96.09392320604724,32.182805291329274,0.023885938704194424,5.4943113
SbII_WSA_11,0.2,0.25,0.4,0.15,99.96212561100495,94.3456308527148,26.60075379271756,6.562723
SbII_WSA_12,0.4,0.15,0.2,0.25,97.9087266815173,38.683475681211135,0.019003177753613244,5.7964115
SbII_WSA_13,0.4,0.15,0.25,0.2,99.98429598505084,39.21226549550786,0.5495085567086496,6.010094
SbII_WSA_14,0.4,0.2,0.15,0.25,97.90555948522503,30.736188384835465,0.019003177753613244,5.7223535
SbII_WSA_15,0.4,0.2,0.25,0.15,99.9856156501726,40.49445212782804,10.171582859133666,6.1497154
SbII_WSA_16,0.4,0.25,0.15,0.2,97.92020776807678,40.75059912796529,0.5595380116341677,5.861977
SbII_WSA_17,0.4,0.25,0.2,0.15,99.99142217670844,41.27160291804351,10.1731664572798,6.0756583
SbII_WSA_18,0.25,0.15,0.2,0.4,96.09906990002217,3.570353986972266,0.023885938704194424,5.520663
SbII_WSA_19,0.25,0.15,0.4,0.2,99.95750678307873,67.84847077205688,10.049381868856958,6.375392
SbII_WSA_20,0.25,0.2,0.15,0.4,96.10157726375354,15.78939728254558,0.01939907729014685,5.4466033
SbII_WSA_21,0.25,0.2,0.4,0.15,99.96146577844407,94.3456308527148,26.7233506825308,6.5150156
SbII_WSA_22,0.25,0.4,0.15,0.2,97.91308157641917,36.42988355274965,26.73522766862681,6.005098
SbII_WSA_23,0.25,0.4,0.2,0.15,99.9886508799527,37.280407723736026,26.585445677304925,6.2187805
